--- 34.8449997902 seconds ---
         607151 function calls (607132 primitive calls) in 0.208 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 C:\Anaconda\lib\hmac.py:83(update)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\hmac.py:119(hexdigest)
       11    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_parse.py:138(append)
        4    0.000    0.000    0.000    0.000 {time.time}
        4    0.000    0.000    0.000    0.000 C:\Anaconda\lib\json\encoder.py:101(__init__)
       12    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\utils\traitlets.py:325(__get__)
        2    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\utils\jsonutil.py:102(date_default)
        1    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.000    0.000 rules1.py:5(<module>)
        5    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 {map}
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\hmac.py:100(_current)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\encodings\cp1252.py:14(decode)
        4    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\iostream.py:86(_is_master_process)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\threading.py:1152(currentThread)
        1    0.000    0.000    0.000    0.000 {nt.urandom}
        3    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_parse.py:257(_escape)
        1    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\threading.py:983(ident)
        9    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\iostream.py:236(_new_buffer)
        2    0.000    0.000    0.000    0.000 {method 'isoformat' of 'datetime.datetime' objects}
       22    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\uuid.py:197(__str__)
        1    0.000    0.000    0.000    0.000 {_codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 {range}
        2    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_compile.py:472(isstring)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\six.py:175(find_module)
        3    0.000    0.000    0.000    0.000 {method 'copy' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        4    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_parse.py:67(__init__)
        7    0.000    0.000    0.000    0.000 {max}
        4    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_parse.py:126(__len__)
        5    0.000    0.000    0.000    0.000 {nt.getpid}
        1    0.000    0.000    0.000    0.000 {getattr}
       12    0.000    0.000    0.000    0.000 C:\Anaconda\lib\sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        8    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {locals}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\hmac.py:30(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 {thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\utils\py3compat.py:13(no_code)




In [39]: 
